SUBJECT,Animal Control,Boston Water & Sewer Commission,Disability Department,Inspectional Services,Inspectional Services,Inspectional Services,Inspectional Services,Mayor's 24 Hour Hotline,Mayor's 24 Hour Hotline,Parks & Recreation Department,Parks & Recreation Department,Property Management,Public Works Department,Public Works Department,Public Works Department,Public Works Department,Public Works Department,Public Works Department,Transportation - Traffic Division,Transportation - Traffic Division
REASON,Animal Issues,Catchbasin,Disability,Building,Environmental Services,Health,Housing,Employee & General Comments,Notification,Park Maintenance & Safety,Trees,Graffiti,Administrative & General Requests,Highway Maintenance,Recycling,Sanitation,Street Cleaning,Street Lights,Enforcement & Abandoned Vehicles,Signs & Signals
week,,,,,,,,,,,,,,,,,,,,
1,2.0,4.0,1.0,21.0,7.0,6.0,15.0,8.0,11.0,8.0,7.0,25.0,2.0,65.0,30.0,194.0,242.0,86.0,23.0,40.0
2,2.0,2.0,14.0,127.0,21.0,19.0,81.0,31.0,14.0,9.0,157.0,52.0,11.0,235.0,61.0,534.0,278.0,188.0,79.0,176.0
3,7.0,2.0,12.0,85.0,20.0,14.0,34.0,32.0,14.0,21.0,103.0,33.0,9.0,424.0,60.0,356.0,342.0,275.0,65.0,154.0
4,3.0,6.0,14.0,80.0,20.0,23.0,38.0,44.0,18.0,15.0,56.0,60.0,13.0,740.0,66.0,382.0,540.0,164.0,80.0,173.0
5,3.0,4.0,14.0,73.0,12.0,15.0,52.0,150.0,24.0,41.0,15.0,15.0,206.0,182.0,35.0,624.0,6932.0,98.0,85.0,108.0
6,6.0,15.0,21.0,84.0,10.0,7.0,70.0,271.0,29.0,88.0,6.0,30.0,315.0,347.0,38.0,1717.0,6534.0,122.0,179.0,120.0
7,8.0,10.0,13.0,96.0,15.0,8.0,97.0,277.0,19.0,51.0,10.0,11.0,330.0,278.0,30.0,1304.0,6508.0,139.0,179.0,105.0
8,10.0,14.0,17.0,141.0,16.0,16.0,123.0,158.0,27.0,42.0,8.0,25.0,193.0,543.0,46.0,1216.0,6377.0,119.0,148.0,151.0
9,2.0,7.0,18.0,93.0,21.0,12.0,103.0,174.0,21.0,31.0,6.0,19.0,61.0,1083.0,65.0,941.0,2646.0,168.0,146.0,160.0
10,5.0,12.0,30.0,123.0,23.0,20.0,108.0,95.0,18.0,16.0,4.0,47.0,34.0,685.0,67.0,719.0,1335.0,184.0,131.0,198.0
11,8.0,13.0,20.0,81.0,23.0,20.0,113.0,45.0,17.0,30.0,8.0,62.0,10.0,1288.0,77.0,604.0,797.0,219.0,149.0,223.0
12,4.0,12.0,13.0,113.0,36.0,10.0,63.0,34.0,17.0,21.0,47.0,89.0,12.0,1420.0,123.0,515.0,559.0,261.0,139.0,264.0
13,11.0,12.0,20.0,115.0,33.0,15.0,60.0,48.0,16.0,27.0,29.0,132.0,18.0,994.0,281.0,505.0,446.0,142.0,132.0,277.0
14,3.0,8.0,21.0,229.0,54.0,17.0,64.0,62.0,19.0,50.0,181.0,179.0,22.0,663.0,178.0,532.0,489.0,184.0,93.0,221.0
15,4.0,14.0,18.0,208.0,44.0,19.0,29.0,53.0,16.0,66.0,44.0,133.0,18.0,843.0,193.0,530.0,389.0,149.0,118.0,251.0
16,7.0,12.0,10.0,241.0,54.0,14.0,40.0,42.0,18.0,70.0,44.0,108.0,18.0,711.0,231.0,677.0,402.0,205.0,98.0,226.0
17,7.0,2.0,2.0,203.0,47.0,10.0,30.0,47.0,15.0,91.0,36.0,89.0,15.0,551.0,212.0,579.0,301.0,79.0,82.0,228.0
18,2.0,9.0,16.0,270.0,55.0,22.0,38.0,27.0,12.0,120.0,70.0,106.0,10.0,572.0,152.0,718.0,282.0,146.0,86.0,205.0
19,4.0,9.0,7.0,268.0,57.0,19.0,33.0,39.0,10.0,96.0,75.0,168.0,20.0,625.0,163.0,624.0,349.0,128.0,86.0,213.0
20,1.0,5.0,11.0,314.0,87.0,13.0,38.0,52.0,13.0,76.0,82.0,149.0,9.0,456.0,180.0,708.0,388.0,219.0,64.0,177.0
21,3.0,3.0,15.0,246.0,79.0,13.0,35.0,60.0,8.0,60.0,117.0,113.0,16.0,424.0,173.0,543.0,396.0,192.0,81.0,204.0
22,11.0,6.0,15.0,257.0,57.0,25.0,35.0,49.0,17.0,72.0,264.0,106.0,16.0,605.0,145.0,770.0,407.0,166.0,91.0,177.0
23,2.0,10.0,11.0,249.0,54.0,14.0,70.0,48.0,13.0,81.0,138.0,81.0,19.0,443.0,144.0,589.0,423.0,122.0,96.0,187.0
24,8.0,7.0,17.0,242.0,58.0,20.0,50.0,37.0,13.0,86.0,97.0,118.0,17.0,456.0,166.0,627.0,397.0,204.0,66.0,196.0
25,4.0,8.0,15.0,278.0,61.0,10.0,39.0,40.0,15.0,70.0,63.0,246.0,16.0,402.0,130.0,668.0,332.0,180.0,77.0,192.0
26,8.0,13.0,11.0,326.0,77.0,16.0,54.0,33.0,13.0,62.0,92.0,165.0,15.0,418.0,116.0,549.0,345.0,154.0,96.0,203.0
27,5.0,5.0,3.0,431.0,76.0,12.0,31.0,32.0,17.0,66.0,87.0,72.0,7.0,279.0,138.0,540.0,377.0,124.0,63.0,165.0
28,1.0,5.0,9.0,372.0,89.0,23.0,45.0,35.0,20.0,106.0,108.0,97.0,16.0,415.0,157.0,570.0,381.0,102.0,47.0,217.0
29,2.0,12.0,19.0,275.0,79.0,22.0,50.0,39.0,19.0,100.0,101.0,114.0,13.0,532.0,154.0,757.0,408.0,192.0,101.0,220.0
30,5.0,5.0,11.0,206.0,54.0,7.0,36.0,46.0,13.0,79.0,67.0,143.0,12.0,343.0,113.0,650.0,375.0,178.0,60.0,184.0
31,4.0,7.0,10.0,280.0,76.0,12.0,88.0,62.0,18.0,87.0,82.0,99.0,11.0,429.0,124.0,722.0,448.0,176.0,97.0,189.0
32,5.0,3.0,4.0,281.0,63.0,20.0,74.0,75.0,19.0,88.0,241.0,147.0,15.0,407.0,120.0,612.0,445.0,189.0,79.0,201.0
33,4.0,6.0,59.0,218.0,73.0,22.0,46.0,54.0,23.0,114.0,332.0,94.0,17.0,543.0,140.0,895.0,446.0,153.0,272.0,281.0
34,2.0,14.0,16.0,334.0,91.0,23.0,60.0,53.0,17.0,115.0,188.0,64.0,16.0,970.0,110.0,713.0,474.0,128.0,281.0,271.0
35,5.0,9.0,31.0,265.0,103.0,17.0,51.0,52.0,13.0,146.0,137.0,50.0,14.0,615.0,119.0,765.0,695.0,241.0,334.0,269.0
36,6.0,7.0,18.0,284.0,88.0,25.0,69.0,45.0,9.0,108.0,134.0,44.0,23.0,390.0,152.0,832.0,1071.0,156.0,415.0,264.0
37,4.0,9.0,13.0,236.0,70.0,33.0,55.0,48.0,14.0,119.0,129.0,48.0,13.0,342.0,139.0,703.0,509.0,241.0,392.0,293.0
38,2.0,5.0,15.0,317.0,76.0,17.0,40.0,43.0,21.0,116.0,124.0,41.0,11.0,413.0,134.0,759.0,504.0,224.0,382.0,287.0
39,6.0,4.0,19.0,268.0,66.0,22.0,32.0,46.0,15.0,97.0,177.0,33.0,17.0,355.0,132.0,550.0,430.0,230.0,408.0,251.0
40,1.0,15.0,13.0,267.0,64.0,21.0,56.0,31.0,18.0,100.0,144.0,42.0,5.0,273.0,141.0,561.0,550.0,175.0,358.0,279.0
41,7.0,6.0,27.0,215.0,45.0,16.0,37.0,33.0,14.0,59.0,115.0,60.0,10.0,305.0,120.0,611.0,434.0,146.0,385.0,187.0
42,3.0,6.0,17.0,225.0,56.0,11.0,46.0,24.0,17.0,84.0,78.0,19.0,10.0,318.0,82.0,651.0,423.0,184.0,368.0,167.0
43,5.0,8.0,15.0,217.0,57.0,16.0,46.0,41.0,16.0,64.0,105.0,40.0,2.0,368.0,112.0,551.0,465.0,200.0,411.0,172.0
44,1.0,4.0,40.0,249.0,29.0,10.0,37.0,29.0,12.0,72.0,65.0,44.0,9.0,353.0,99.0,618.0,401.0,259.0,413.0,260.0
45,5.0,2.0,16.0,219.0,45.0,16.0,33.0,26.0,11.0,89.0,39.0,55.0,9.0,465.0,103.0,647.0,436.0,302.0,401.0,169.0
46,1.0,4.0,25.0,177.0,33.0,18.0,38.0,37.0,12.0,41.0,40.0,34.0,9.0,294.0,135.0,642.0,408.0,214.0,414.0,161.0
47,3.0,3.0,16.0,223.0,40.0,18.0,48.0,17.0,26.0,89.0,29.0,38.0,6.0,290.0,108.0,767.0,404.0,241.0,447.0,260.0
48,4.0,3.0,10.0,114.0,23.0,11.0,37.0,16.0,13.0,59.0,26.0,21.0,6.0,175.0,62.0,550.0,418.0,148.0,273.0,125.0
49,27.0,4.0,16.0,167.0,27.0,18.0,37.0,20.0,16.0,75.0,33.0,32.0,7.0,240.0,88.0,620.0,463.0,182.0,388.0,201.0
50,22.0,1.0,25.0,118.0,26.0,22.0,12.0,20.0,24.0,68.0,57.0,22.0,4.0,357.0,48.0,495.0,439.0,157.0,508.0,208.0
51,10.0,2.0,22.0,105.0,17.0,22.0,28.0,13.0,18.0,37.0,30.0,21.0,8.0,284.0,64.0,474.0,500.0,133.0,451.0,184.0
52,12.0,3.0,2.0,45.0,12.0,16.0,16.0,16.0,15.0,18.0,19.0,2.0,3.0,119.0,30.0,280.0,437.0,51.0,213.0,101.0
53,7.0,1.0,12.0,13.0,1.0,12.0,4.0,14.0,3.0,12.0,8.0,1.0,2.0,48.0,36.0,227.0,333.0,22.0,153.0,13.0
